url,summary,target
https://n.news.naver.com/mnews/article/005/0001678344,"헤일리, 워싱턴 DC서 트럼프에 첫승… 판세 영향 미미
미국 공화당 대권 주자인 니키 헤일리 전 유엔대사가 도널드 트럼프 전 대통령에게 경선에서 처음으로 이겼다.

AP통신은 3일 ""워싱턴 DC에서 열린 공화당 프라이머리에서 헤일리 전 대사가 처음으로 승리했다""며 ""트럼프 전 대통령의 연승을 일시적으로 저지했다""고 보도했다.

개표율 99%에서 헤일리 전 대사는 62.8%의 득표율로 트럼프 전 대통령의 33.3%를 앞섰다.",0
https://n.news.naver.com/mnews/article/421/0007388175,"불타오르네…日닛케이지수, 사상 첫 4만선마저 뚫었다(종합)
4일 도쿄증시 닛케이225 평균주가가 장중 기준으로 처음으로 4만엔 선을 뚫었다.

이날 오전 11시 35분 현재 닛케이225지수는 전거래일 대비 316 오른 4만226.83을 기록하고 있다.

닛케이지수는 지난 2월 22일, 34년 2개월 전 기록한 종전 최고 종가인 3만8915를 깨고 3만9098으로 마감했다.",0
https://n.news.naver.com/mnews/article/025/0003345003,"美대법 '트럼프 대선출마 자격' 슈퍼화요일 전날 선고할 듯
2020년 대선 패배를 뒤집으려고 지지자들의 의회 폭동을 부추긴 의혹을 받는 도널드 트럼프 전 미국 대통령의 대선 출마 저지 여부를 판가름하는 미 연방대법원의 판결이 '슈퍼 화요일' 전날인 오는 4일 나올 전망이다.

그러나 미 언론은 연방대법원이 선고일을 공지한 게 이례적이라는 점에서 연방대법원이 트럼프 전 대통령의 출마 자격을 박탈한 콜로라도주 대법원 판결에 대한 판단을 발표할 가능성이 있다고 전망했다.

연방대법원이 슈퍼 화요일 이전에 트럼프 전 대통령의 출마 자격을 둘러싼 불확실성을 해소해야 할 필요를 염두에 뒀을 것이란 분석도 나온다.",0
https://n.news.naver.com/mnews/article/015/0004954973,"상하이증시…中 양회, 4일개막…새 부양책 나온다
지난주 마지막 거래일인 1일 중국 증시는 양회를 앞두고 경기부양책에 대한 기대감이 유지되면서 상승 마감했다.

4일 개막되는 양회에서 올해 중국의 경제성장률 목표치와 함께 새로운 경기부양책이 제시될 전망이다.

중국의 올해 경제 성장률 목표치는 작년에 이어 5.0% 안팎으로 예상된다.",0
https://n.news.naver.com/mnews/article/057/0001803256,"수천 명 탈옥한 아이티…국가 비상사태 선포
극심한 치안 실패 속 대규모 탈옥사태까지 발생한 카리브해 섬나라 아이티가 3일 야간 통행금지 조치와 함께 비상사태를 선포했습니다.

AFP통신 등에 따르면 아이티 정부는 성명을 내고 전날 국립교도소 등에서 발생한 대규모 탈옥과 이에 따른 폭력 사태를 진압하기 위해 비상사태를 선포한다고 밝혔습니다.

아이티 정부는 또한 3일부터 6일까지, 오후 6시부터 다음 달 오전 5시 사이 통행금지 조치도 함께 시행한다고 말했습니다.",0
https://n.news.naver.com/mnews/article/032/0003282193,"러, ‘타우러스 지원’ 막으려 독일군 녹취록 공개했나···독일 “도청 확인” 파문
러시아 측이 타우러스 미사일의 우크라이나 지원 문제를 논의한 독일군 고위 간부들의 회의 녹취록을 공개해 파장이 일고 있는 가운데 독일 정부는 회의가 도청됐다며 경위 파악에 나섰다.

러시아가 유럽에 대한 정보력을 과시하는 동시에 서방 동맹국들을 분열시키고, 궁극적으로는 독일의 타우러스 지원을 막기 위해 녹취록을 공개했다는 해석도 나온다.

독일 연방군 대령 출신인 로데리히 키제베터 의원은 ""러시아가 독일의 의사결정을 얼마나 깊숙하게 파악하고 있는지 공개해 타우러스 지원을 저지하려는 의도""라며 ""동시에 영국과 프랑스, 독일을 갈라놓으려는 것""이라고 말했다.",0
https://n.news.naver.com/mnews/article/081/0003434614,,0
https://n.news.naver.com/mnews/article/366/0000974799,,0
https://n.news.naver.com/mnews/article/081/0003434408,"최악 불신 바이든, 트럼프는 ‘냉동배아’… 악재 커지는 리턴매치
오는 5일 미국 대선의 최고 흥행일인 '슈퍼 화요일'을 앞두고 본선 재대결이 확실시된 조 바이든 대통령과 도널드 트럼프 전 대통령이 모두 악재를 단속하느라 전전긍긍하고 있다.

올해 81세인 바이든 대통령은 고령과 맞물려 최고조에 이른 '불신'이, 트럼프 전 대통령은 보수 기독교 여성들마저 반발한 IVF 이슈가 발목을 잡고 있다.

바이든 대통령은 인지력 논란과 민주당원 사이에서도 커지는 불만을 잠재워야 하는 상황에 직면했다.",0
https://n.news.naver.com/mnews/article/001/0014539761,,0
